City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
317,santo antonio do ica,-3.1022,-67.9397,24.18,89,44,1.2,BR,1709606356
318,susuman,62.7833,148.1667,-15.01,84,100,1.79,RU,1709606357
319,riyadh,24.6877,46.7219,15.08,37,0,3.16,SA,1709606164
320,selfoss,63.9331,-20.9971,6.03,87,100,5.05,IS,1709606358
321,huron,41.1501,-82.5499,16.07,68,5,5.68,US,1709606358
322,fernie,49.5,-115.0687,-7.89,97,100,2.3,CA,1709606359
323,mount carmel,38.4109,-87.7614,20.88,81,96,5.78,US,1709606323
324,sao jose da coroa grande,-8.8978,-35.1478,27.11,80,8,2.06,BR,1709606360
325,labrador city,52.9463,-66.9114,-8.05,51,100,4.63,CA,1709606361
326,aripuana,-9.1667,-60.6333,22.7,98,73,0.64,BR,1709606247
327,hithadhoo,-0.6,73.0833,28.19,76,71,4.3,MV,1709606362
328,santa cruz,-17.8,-63.1667,24.7,88,40,1.03,BO,1709606355
329,bondoukou,8.0333,-2.8,25.53,76,29,2.34,CI,1709606363
330,sinabang,2.4803,96.3801,27.92,77,96,2.44,ID,1709606363
331,viedma,-40.8135,-62.9967,15.45,59,94,4.44,AR,1709606364
332,covilha,40.286,-7.504,7.53,79,100,1.79,PT,1709606163
333,kill devil hills,36.0307,-75.676,16.01,98,100,5.14,US,1709606365
334,lanxi,29.2195,119.477,15.82,96,100,1.48,CN,1709606365
335,shiguai,40.7058,110.2856,-1.5,67,75,2.37,CN,1709606366
336,kuqa,41.7278,82.9364,1.36,32,15,2.31,CN,1709606359
337,al majaridah,19.1236,41.9111,24.81,74,21,1.16,SA,1709606367
338,belmonte,-15.8631,-38.8828,25.94,85,99,0.98,BR,1709606368
339,muisne,0.6,-80.0333,25.0,86,100,0.37,EC,1709606368
340,ujae,8.9322,165.7642,27.03,76,84,10.62,MH,1709606369
341,rongelap,11.1635,166.8941,26.39,80,21,10.37,MH,1709606369
342,zambezi,-13.5432,23.1047,19.76,90,88,1.53,ZM,1709606370
343,lewiston orchards,46.3804,-116.9754,3.26,64,66,1.66,US,1709606370
344,de aar,-30.6497,24.0123,11.03,78,82,2.99,ZA,1709606371
345,fort mcmurray,56.7268,-111.381,-18.23,78,100,4.12,CA,1709606371
346,lihue,21.9789,-159.3672,24.58,75,75,7.72,US,1709606372
347,horn,51.8715,8.9451,6.83,95,100,0.25,DE,1709606373
348,takab,36.4009,47.1133,-2.03,82,53,0.86,IR,1709606373
349,brookings,44.3114,-96.7984,-2.0,66,0,3.6,US,1709606374
350,hotan,37.0997,79.9269,3.2,48,3,1.34,CN,1709606374
351,tofol,5.3248,163.0078,30.88,70,75,7.72,FM,1709606375
352,supaul,26.1167,86.6,21.71,44,0,6.42,IN,1709606375
353,rio grande,-32.035,-52.0986,14.97,59,62,2.57,BR,1709606376
354,popondetta,-8.7537,148.2534,31.71,60,100,2.6,PG,1709606376
355,langepas,61.2544,75.2124,-1.43,97,100,5.32,RU,1709606377
356,khovd,48.0056,91.6419,-10.61,60,100,1.02,MN,1709606378
357,chernyshevskiy,63.0128,112.4714,-15.45,91,96,1.65,RU,1709606379
358,nadym,65.5333,72.5167,-25.77,100,100,2.68,RU,1709606379
359,mangaratiba,-22.9597,-44.0406,24.48,83,0,1.39,BR,1709606380
